state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,electricity_norm,QoL,season
Carolinas,2025-07-28,2025,7,Monday,0,0,5.508333333333333,34.3,24.6,28.9,865479.0,89.30824295153509,86.5479,0.032699707684431305,0.9208794347877436,0.8865546218487397,0.4045519492106041,0.9315093034360732,Summer
Carolinas,2025-07-29,2025,7,Tuesday,1,0,5.908333333333334,34.7,24.1,29.1,829075.0,89.30824295153509,82.9075,0.035077868243299046,0.9208794347877436,0.8907563025210087,0.37975929247897966,0.9354474963899684,Summer
Carolinas,2025-07-30,2025,7,Wednesday,2,0,6.666666666666667,33.8,23.5,28.4,820202.0,89.30824295153509,82.0202,0.03958646430281912,0.9208794347877436,0.8760504201680674,0.37371640589564525,0.9285627500094816,Summer
Carolinas,2025-07-31,2025,7,Thursday,3,0,4.170588235294118,32.6,25.1,28.1,801660.0,89.30824295153509,80.166,0.024746276109492538,0.9208794347877436,0.8697478991596641,0.36108852321468216,0.9384373578705194,Summer
Carolinas,2025-08-01,2025,8,Friday,4,0,5.378260869565217,29.1,24.0,25.7,663289.0,76.68291919402023,66.3289,0.031926374676611094,0.7800775140961281,0.8193277310924371,0.26685204632720805,0.862323668069298,Summer
Carolinas,2025-08-02,2025,8,Saturday,5,1,6.1625000000000005,25.4,20.3,22.6,525821.0,76.68291919402023,52.5821,0.03658899109841291,0.7800775140961281,0.7542016806722691,0.17323055045909047,0.8531312486938184,Summer
Carolinas,2025-08-03,2025,8,Sunday,6,1,9.0125,26.1,18.0,21.7,558692.0,76.68291919402023,55.8692,0.05353338508034549,0.7800775140961281,0.7352941176470589,0.19561708543945605,0.83185020613362,Summer
Carolinas,2025-08-04,2025,8,Monday,0,0,5.058333333333334,26.3,18.9,22.0,609986.0,76.68291919402023,60.9986,0.030024277055705113,0.7800775140961281,0.7415966386554622,0.23055045909048189,0.8437741961038627,Summer
Carolinas,2025-08-05,2025,8,Tuesday,1,0,4.529166666666667,23.6,19.8,21.7,601410.0,76.68291919402023,60.141,0.026878168816369674,0.7800775140961281,0.7352941176470589,0.22470984201185285,0.8447419768259546,Summer
Carolinas,2025-08-06,2025,8,Wednesday,2,0,4.641666666666667,24.0,19.3,21.2,606428.0,76.68291919402023,60.6428,0.027547026473551225,0.7800775140961281,0.7247899159663866,0.22812731128663835,0.840235433405922,Summer
Carolinas,2025-08-07,2025,8,Thursday,3,0,4.983333333333333,25.4,18.1,21.1,602712.0,76.68291919402023,60.2712,0.02957837195091741,0.7800775140961281,0.7226890756302523,0.22559655883046,0.8386064528175908,Summer
Carolinas,2025-08-08,2025,8,Friday,4,0,6.0375000000000005,26.9,19.1,22.7,621436.0,76.68291919402023,62.1436,0.03584581592376675,0.7800775140961281,0.7563025210084034,0.23834839117423917,0.8434961137008601,Summer
Carolinas,2025-08-09,2025,8,Saturday,5,1,22.491666666666664,26.9,18.2,22.3,617130.0,76.68291919402023,61.713,0.13367244141302373,0.7800775140961281,0.7478991596638657,0.23541582387706372,0.7761206001524655,Summer
Carolinas,2025-08-10,2025,8,Sunday,6,1,21.995833333333334,28.5,18.6,23.2,620301.0,76.68291919402023,62.0301,0.1307245132202606,0.7800775140961281,0.7668067226890757,0.2375754083868973,0.7840103724496534,Summer
Carolinas,2025-08-11,2025,8,Monday,0,0,21.5625,27.5,21.8,23.9,671823.0,76.68291919402023,67.1823,0.12814817261482056,0.7800775140961281,0.7815126050420169,0.2726640596374949,0.7847800191085106,Summer
Carolinas,2025-08-12,2025,8,Tuesday,1,0,13.370833333333332,28.4,21.1,23.9,702850.0,76.68291919402023,70.285,0.07944542616967515,0.7800775140961281,0.7815126050420169,0.2937947529792187,0.8136604670866241,Summer
Carolinas,2025-08-13,2025,8,Wednesday,2,0,10.841666666666669,29.6,23.4,25.3,752740.0,76.68291919402023,75.274,0.06440851513600107,0.7800775140961281,0.8109243697478993,0.3277719435170921,0.827793701607727,Summer
Carolinas,2025-08-14,2025,8,Thursday,3,0,6.204166666666667,29.8,23.2,26.0,755276.0,76.68291919402023,75.5276,0.0368367161566283,0.7800775140961281,0.8256302521008404,0.32949906629127623,0.8507363649893595,Summer
Carolinas,2025-08-15,2025,8,Friday,4,0,8.129166666666666,30.2,22.8,26.0,764260.0,76.68291919402023,76.426,0.04828161384617925,0.7800775140961281,0.8256302521008404,0.33561754854808634,0.8421064877774584,Summer
Carolinas,2025-08-16,2025,8,Saturday,5,1,7.633333333333333,29.6,22.4,25.5,720101.0,76.68291919402023,72.0101,0.045333685653416125,0.7800775140961281,0.8151260504201681,0.3055434103047119,0.8455747709283122,Summer
Carolinas,2025-08-17,2025,8,Sunday,6,1,4.8500000000000005,31.4,20.6,25.9,724865.0,76.68291919402023,72.4865,0.028785651764628172,0.7800775140961281,0.8235294117647061,0.3087878948852376,0.8588367363895487,Summer
Carolinas,2025-08-18,2025,8,Monday,0,0,5.2625,29.9,23.2,26.4,775407.0,76.68291919402023,77.5407,0.031238129840960516,0.7800775140961281,0.8340336134453783,0.343209124874518,0.8549751404983073,Summer
Carolinas,2025-08-19,2025,8,Tuesday,1,0,6.291666666666667,27.4,21.5,24.1,709172.0,76.68291919402023,70.9172,0.03735693877888062,0.7800775140961281,0.7857142857142859,0.2981003011568181,0.8423366288567591,Summer
Carolinas,2025-08-20,2025,8,Wednesday,2,0,5.825,27.5,20.0,23.6,718051.0,76.68291919402023,71.8051,0.03458241812686826,0.7800775140961281,0.7752100840336137,0.3041472739927728,0.8396831684041977,Summer
Carolinas,2025-08-21,2025,8,Thursday,3,0,6.926666666666666,28.9,22.0,25.3,725362.0,76.68291919402023,72.5362,0.04113226866608313,0.7800775140961281,0.8109243697478993,0.3091263728106199,0.8463761561320223,Summer
Carolinas,2025-08-22,2025,8,Friday,4,0,7.677777777777777,26.8,20.0,23.2,657582.0,76.68291919402023,65.7582,0.04559792571551254,0.7800775140961281,0.7668067226890757,0.2629653390431903,0.8364095435280736,Summer
Carolinas,2025-08-23,2025,8,Saturday,5,1,10.808333333333332,25.8,17.4,21.9,605178.0,76.68291919402023,60.5178,0.06421033508942874,0.7800775140961281,0.7394957983193279,0.2272760086574072,0.8208814806936479,Summer
Carolinas,2025-08-24,2025,8,Sunday,6,1,10.2125,28.6,19.0,23.3,652658.0,76.68291919402023,65.2658,0.06066786675694869,0.7800775140961281,0.7689075630252102,0.259611887726123,0.8276422218282212,Summer
Carolinas,2025-08-25,2025,8,Monday,0,0,10.820833333333333,29.7,21.2,25.1,705772.0,76.68291919402023,70.5772,0.06428465260689337,0.7800775140961281,0.8067226890756305,0.2957847580053094,0.8317977265810572,Summer
Carolinas,2025-08-26,2025,8,Tuesday,1,0,11.5125,26.5,19.3,22.8,627679.0,76.68291919402023,62.7679,0.06839688857326881,0.7800775140961281,0.7584033613445379,0.2426001370256712,0.8218367527387088,Summer
Carolinas,2025-08-27,2025,8,Wednesday,2,0,10.854166666666666,25.3,16.4,20.8,595133.0,76.68291919402023,59.5133,0.06448283265346567,0.7800775140961281,0.7163865546218489,0.22043494072890574,0.8141523526798056,Summer
Carolinas,2025-08-28,2025,8,Thursday,3,0,62.5625,25.5,15.6,19.9,599701.0,76.68291919402023,59.9701,0.37190962989876303,0.7800775140961281,0.6974789915966388,0.22354594105716805,0.6028649414933758,Summer
Carolinas,2025-08-29,2025,8,Friday,4,0,54.73333333333333,27.5,16.5,21.6,618445.0,76.68291919402023,61.8445,0.3253620914600915,0.7800775140961281,0.7331932773109245,0.2363113942430149,0.6435803967985969,Summer
Carolinas,2025-08-30,2025,8,Saturday,5,1,93.875,26.5,16.5,21.0,580565.0,76.68291919402023,58.0565,0.5580750111476276,0.7800775140961281,0.7205882352941176,0.2105135193667943,0.4888913561287176,Summer
Carolinas,2025-08-31,2025,8,Sunday,6,1,53.375,24.6,16.1,20.6,554766.0,76.68291919402023,55.4766,0.31728625456226983,0.7800775140961281,0.7121848739495801,0.19294331414156685,0.6491766594286283,Summer
Carolinas,2025-09-01,2025,9,Monday,0,0,11.366666666666667,24.6,14.3,19.4,540001.0,88.74804314193952,54.0001,0.06752985086951496,0.9146318952650296,0.6869747899159665,0.18288772748508858,0.875710896369664,Autumn
Carolinas,2025-09-02,2025,9,Tuesday,1,0,19.52083333333333,25.5,15.1,20.0,578949.0,88.74804314193952,57.8949,0.1160096447622665,0.9146318952650296,0.6995798319327732,0.20941295532772428,0.8432463344713576,Autumn
